Memory Length,4000,
Trigger Level,8.800E-01,
Source,CH1,
Vertical Units,V,
Vertical Scale,2.000E+00,
Vertical Position,-8.000E-02,
Horizontal Units,s,
Horizontal Scale,2.500E-03,
Horizontal Position,1.010E-02,
Horizontal Mode,Main,
Sampling Period,1.000E-05,
Firmware, V1.14,
Waveform Data,
4
4
5
5
4
5
5
5
5
5
5
4
5
4
5
5
5
4
4
5
5
4
5
4
4
5
5
5
5
5
5
5
5
5
4
5
5
5
5
5
5
5
4
5
5
5
5
4
5
5
4
4
5
5
5
4
5
4
4
4
5
4
5
5
4
4
5
5
4
5
5
4
4
5
5
4
5
5
4
5
5
5
5
5
5
4
5
5
5
5
5
5
5
5
5
5
5
5
5
4
5
5
5
5
5
4
5
5
5
5
4
5
4
5
5
4
5
5
5
5
5
5
4
5
5
5
5
5
5
4
5
5
4
4
5
5
5
5
5
5
4
4
5
4
5
5
5
4
5
5
5
5
5
4
4
5
5
5
5
5
5
5
5
5
5
5
5
4
5
5
4
5
5
4
5
5
5
4
5
5
4
4
5
5
4
5
5
5
5
5
4
5
5
5
4
5
5
5
5
5
5
5
5
5
4
4
4
5
4
5
5
5
5
5
5
4
5
4
5
5
5
5
5
5
5
4
5
5
5
5
5
5
4
5
4
5
5
5
5
5
5
5
5
5
5
5
5
5
5
4
5
5
5
5
5
4
4
5
5
4
5
5
5
5
5
5
5
4
5
5
5
5
4
5
5
5
5
5
5
4
5
5
4
5
5
5
4
5
5
5
4
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
4
4
5
5
5
5
5
4
4
5
5
5
5
5
5
5
5
5
5
5
5
4
5
5
5
4
5
5
5
5
5
5
5
4
5
5
5
5
4
5
5
5
4
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
4
5
4
4
4
5
4
5
5
4
4
4
5
4
4
4
4
4
4
4
4
4
5
4
4
4
4
4
4
4
4
4
4
4
4
5
4
5
5
4
5
5
5
4
4
4
5
4
5
5
4
4
5
5
4
5
4
4
5
5
4
4
4
5
4
5
5
4
4
5
4
5
5
5
5
5
5
6
6
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
4
5
5
5
5
5
5
5
5
5
5
5
6
6
6
7
7
7
7
7
7
7
7
7
6
6
6
6
5
5
5
4
4
3
4
4
4
4
4
3
3
3
4
3
2
3
3
4
4
5
5
5
5
5
5
6
6
6
5
6
6
5
5
5
5
5
4
4
4
4
4
4
4
2
2
2
2
2
2
2
2
3
2
2
2
3
3
3
3
3
3
3
3
4
5
5
5
6
6
6
6
5
6
6
6
6
6
6
5
5
7
5
6
6
6
6
6
6
5
5
5
5
5
5
4
4
3
3
4
3
4
4
4
4
5
5
4
5
6
5
5
5
5
5
6
6
6
6
6
6
6
8
7
6
7
6
6
5
5
5
4
4
4
3
4
3
4
4
3
3
2
2
2
3
2
2
3
2
3
2
2
3
3
3
4
4
4
5
5
5
5
5
5
5
5
5
5
6
5
6
5
6
5
5
6
6
5
5
5
5
5
5
5
5
5
5
5
4
5
4
4
4
4
4
4
5
4
4
4
4
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
6
5
6
5
6
5
6
5
5
6
5
5
5
5
4
5
5
4
5
5
5
5
5
5
4
4
4
4
4
4
3
3
3
3
3
4
4
4
4
4
4
4
4
4
4
4
5
4
4
4
4
4
4
4
5
5
6
6
6
6
5
5
5
5
5
